Gene	Disease	database_assertedBy	score_DisGeNet
entrez.712	mondo.0007004	disgenet	0.3
entrez.712	mondo.0014005	disgenet	0.3
entrez.712	mondo.0019736	disgenet	0.3
entrez.712	mondo.0013743	disgenet	0.3
entrez.714	mondo.0013343	omim, disgenet	0.6
entrez.713	mondo.0013343	omim, disgenet	0.71
entrez.713	mondo.0005342	disgenet	0.3
entrez.713	mondo.0003778	disgenet	0.3
entrez.713	mondo.0005155	disgenet	0.3
entrez.713	mondo.0024644	disgenet	0.3
entrez.2048	mondo.0011361	omim	
entrez.2048	mondo.0032765	omim	
entrez.2048	mondo.0005082	disgenet	0.3
entrez.2048	mondo.0016698	disgenet	0.32
entrez.2048	mondo.0016699	disgenet	0.3
entrez.2048	mondo.0016700	disgenet	0.3
entrez.2048	mondo.0003475	disgenet	0.3
entrez.2048	mondo.0008315	disgenet	0.4
entrez.2048	mondo.0003470	disgenet	0.3
entrez.2048	mondo.0023122	disgenet	0.31
entrez.23028	mondo.0014751	omim, disgenet	0.7
entrez.23028	mondo.0021063	disgenet	0.32
entrez.23028	mondo.0005233	disgenet	0.32
entrez.23028	mondo.0005401	disgenet	0.3
entrez.6135	mondo.0012938	omim, disgenet	0.6
entrez.6135	mondo.0000577	disgenet	0.3
entrez.6135	mondo.0008315	disgenet	0.3
entrez.6135	mondo.0002334	disgenet	0.3
entrez.6135	mondo.0015253	disgenet	0.4
entrez.2582	mondo.0009257	omim	
entrez.2582	mondo.0018116	disgenet	0.5
entrez.2582	mondo.0009258	disgenet	0.4
entrez.2582	mondo.0009255	disgenet	0.3
entrez.3155	mondo.0009520	omim, disgenet	0.75
entrez.3155	mondo.0004069	disgenet	0.31
entrez.2517	mondo.0009254	omim, disgenet	0.78
entrez.2517	mondo.0019046	disgenet	0.3
entrez.57822	mondo.0011712	omim, disgenet	0.6
entrez.57822	mondo.0009106	disgenet	0.3
entrez.57822	mondo.0017087	disgenet	0.3
entrez.57822	mondo.0018968	disgenet	0.3
entrez.57822	mondo.0018969	disgenet	0.3
entrez.57822	mondo.0019508	disgenet	0.65
entrez.57822	mondo.0019795	disgenet	0.3
entrez.26119	mondo.0011374	omim, disgenet	0.9
entrez.57190	mondo.0011271	omim, disgenet	1.0
entrez.57190	mondo.0009711	omim, disgenet	0.75
entrez.57190	mondo.0008779	disgenet	0.3
entrez.57190	mondo.0015225	disgenet	0.3
entrez.57190	mondo.0020121	disgenet	0.48
entrez.57190	mondo.0018947	disgenet	0.3
entrez.57190	mondo.0019952	disgenet	0.34
entrez.57190	mondo.0010683	disgenet	0.3
entrez.57190	mondo.0024531	disgenet	0.3
entrez.57190	mondo.0019950	disgenet	0.34
entrez.57190	mondo.0002921	disgenet	0.3
entrez.57190	mondo.0008048	disgenet	0.3
